Time (s),Target Distance (m),Distance Error (m),Altitude (m),Airspeed Command (m/s),Actual Airspeed (m/s),Distance (m)
298.82371616363525,20.0,-1.9130642588501736,19.058,14.086935741149826,15.752285957336426,18.086935741149826
299.02478885650635,20.0,-2.663054475847609,18.971,14.0,16.07826805114746,17.33694552415239
299.22604417800903,20.0,-3.601653624289238,18.921,14.0,16.960826873779297,16.398346375710762
299.42703461647034,20.0,-4.573536682674618,18.923,14.0,16.400697708129883,15.426463317325382
299.62802052497864,20.0,-1.3738335040572451,18.923,14.626166495942755,16.400697708129883,18.626166495942755
299.8290009498596,20.0,-2.2458647424528344,18.964,14.0,16.152694702148438,17.754135257547166
300.03000926971436,20.0,-3.084612025239398,19.029,14.0,16.230215072631836,16.915387974760602
300.23099994659424,20.0,-4.078684304613612,19.11,14.0,16.93446159362793,15.921315695386388
300.43227887153625,20.0,-5.028377983368166,19.208,14.0,16.240650177001953,14.971622016631834
300.63371992111206,20.0,-1.8286748171661493,19.208,14.17132518283385,16.240650177001953,18.17132518283385
300.8349027633667,20.0,-2.623043462185965,19.303,14.0,15.876015663146973,17.376956537814035
301.0359127521515,20.0,-3.395222796077224,19.39,14.0,15.890660285949707,16.604777203922776
301.2368929386139,20.0,-4.08973960559902,19.454,14.0,15.47022819519043,15.91026039440098
301.4379668235779,20.0,-0.8900364477753371,19.454,15.109963552224663,15.47022819519043,19.109963552224663
301.63902473449707,20.0,-1.5179853763223754,19.486,14.482014623677625,15.2532377243042,18.482014623677625
301.840211391449,20.0,-2.0904610651349778,19.485,14.0,15.190496444702148,17.909538934865022
302.0416193008423,20.0,-4.384829390927729,19.456,14.0,16.056066513061523,15.61517060907227
302.243045091629,20.0,-5.134819337255568,19.422,14.0,15.63720703125,14.865180662744432
302.4442558288574,20.0,-1.9351161914220754,19.422,14.064883808577925,15.63720703125,18.064883808577925
302.6454486846924,20.0,-2.574159684472381,19.383,14.0,15.333884239196777,17.42584031552762
302.8466799259186,20.0,-3.157729943117861,19.339,14.0,15.249046325683594,16.84227005688214
303.04805159568787,20.0,-3.7191108960287096,19.286,14.0,15.175683975219727,16.28088910397129
303.2495975494385,20.0,-4.247207899267844,19.22,14.0,15.135004997253418,15.752792100732156
303.4506206512451,20.0,-1.0475047658486076,19.22,14.952495234151392,15.135004997253418,18.952495234151392
303.6517114639282,20.0,-1.5756017536442997,19.146,14.4243982463557,15.127544403076172,18.4243982463557
303.8528711795807,20.0,-2.1369826533018283,19.068,14.0,15.613088607788086,17.86301734669817
304.0543930530548,20.0,-2.9202563956429515,19.006,14.0,16.18170166015625,17.07974360435705
304.2556188106537,20.0,0.2794467276319459,19.006,16.279446727631946,16.18170166015625,20.279446727631946
304.4567289352417,20.0,-0.4483537805255615,18.973,15.551646219474438,15.636143684387207,19.55164621947444
304.6579694747925,20.0,-1.109586410366557,18.964,14.890413589633443,15.717131614685059,18.890413589633443
304.8590488433838,20.0,-1.9594279490508946,18.982,14.040572050949105,16.92568016052246,18.040572050949105
305.06005120277405,20.0,-3.064446249700577,19.046,14.0,17.431642532348633,16.935553750299423
305.26188373565674,20.0,0.13525686151144356,19.046,16.135256861511444,17.431642532348633,20.135256861511444
305.4630410671234,20.0,-0.9031935605510277,19.161,15.096806439448972,16.58433723449707,19.096806439448972
