Time (s),Airspeed Input (m/s),Distance Output (m),Altitude (m),Actual Airspeed (m/s)
70.08282518386841,13.0,207.0403906854607,19.686,13.504079818725586
70.28384113311768,13.0,205.17870439171733,19.688,13.480108261108398
70.48524308204651,13.0,204.92792707055028,19.689,13.493170738220215
70.68656849861145,13.0,204.68824474977453,19.69,13.452646255493164
70.88802647590637,13.0,207.8879335527342,19.69,13.452646255493164
71.08979201316833,13.0,207.6371573405438,19.687,13.456244468688965
71.29105067253113,13.0,207.39747613435765,19.683,13.427356719970703
71.49239611625671,13.0,207.15779527976125,19.676,13.425519943237305
71.69414281845093,13.0,210.35748574426387,19.676,13.425519943237305
71.89542484283447,13.0,210.12892722874622,19.668,13.407341003417969
72.09643054008484,13.0,208.30055105675243,19.658,13.387490272521973
72.29818296432495,13.0,208.08308728120576,19.646,13.390299797058105
72.49947142601013,13.0,211.28277745056357,19.646,13.390299797058105
72.70095610618591,13.0,211.05424661919315,19.633,13.3911771774292
72.90243601799011,13.0,210.81462160203375,19.618,13.367308616638184
73.1036651134491,13.0,210.58609171435455,19.603,13.383061408996582
73.30480670928955,13.0,213.78578096817841,19.603,13.383061408996582
73.50611448287964,13.0,213.55727991790724,19.589,13.375798225402832
73.70727348327637,13.0,213.3287509232255,19.576,13.389120101928711
73.9089515209198,13.0,211.4892839987157,19.565,13.374307632446289
74.11095881462097,13.0,214.68897163476257,19.565,13.374307632446289
74.31229639053345,13.0,214.4604433385248,19.556,13.388352394104004
74.5134220123291,13.0,214.23191551218088,19.547,13.391404151916504
74.71453809738159,13.0,214.0033574522573,19.539,13.375360488891602
74.91644930839539,13.0,217.20304459987068,19.539,13.375360488891602
75.11820220947266,13.0,216.98558116569427,19.533,13.382590293884277
75.31926465034485,13.0,216.75702310639915,19.527,13.375775337219238
75.52042984962463,13.0,216.52846506764067,19.523,13.346124649047852
75.72150921821594,13.0,218.12830878045145,19.523,13.346124649047852
75.92260479927063,13.0,217.9108156125097,19.52,13.337803840637207
76.12389993667603,13.0,217.6822575624477,19.517,13.348457336425781
76.32529807090759,13.0,217.4647941770526,19.516,13.353537559509277
76.52688837051392,13.0,220.66448230777212,19.516,13.353537559509277
76.72798919677734,13.0,220.4359242593971,19.514,13.364073753356934
76.92941164970398,13.0,220.21846087989042,19.514,13.361663818359375
77.13043022155762,13.0,220.00099751876465,19.515,13.339024543762207
77.33178806304932,13.0,219.7835636963967,19.515,13.33721923828125
77.53334784507751,13.0,222.98325174902388,19.515,13.33721923828125
77.73442912101746,13.0,221.16594435138458,19.516,13.321808815002441
77.93645405769348,13.0,220.95957570664604,19.516,13.30288028717041
78.13761520385742,13.0,220.7532070806063,19.516,13.299339294433594
78.33868503570557,13.0,223.95289527719675,19.516,13.299339294433594
78.53997468948364,13.0,223.73543198932782,19.514,13.29004955291748
78.74134969711304,13.0,223.52906336980703,19.511,13.284770965576172
78.94241428375244,13.0,223.32269476650893,19.509,13.28003978729248
79.14375734329224,13.0,226.52238334017238,19.509,13.28003978729248
79.34491753578186,13.0,226.31601472679915,19.508,13.27935791015625
79.54631924629211,13.0,224.5098018178168,19.507,13.288081169128418
79.747718334198,13.0,224.30343325463022,19.507,13.299375534057617
79.94885969161987,13.0,227.50312196731497,19.507,13.299375534057617
80.1504271030426,13.0,227.29678230434115,19.507,13.299052238464355
80.35143804550171,13.0,227.09044307585734,19.507,13.290966987609863
80.55241632461548,13.0,226.89519892922604,19.506,13.281073570251465
80.75342631340027,13.0,230.09488678149188,19.506,13.281073570251465
80.95444941520691,13.0,228.29979885793875,19.505,13.25953197479248
81.15611553192139,13.0,228.1045553508673,19.505,13.251998901367188
81.35723781585693,13.0,227.90931227718798,19.504,13.260174751281738
81.55849146842957,13.0,231.1089990175563,19.504,13.260174751281738
81.75976943969727,13.0,230.91375591716002,19.502,13.260830879211426
81.96100425720215,13.0,230.71848225488904,19.501,13.25147533416748
82.162273645401,13.0,230.52320861233622,19.501,13.257267951965332
82.36343240737915,13.0,233.72289533588676,19.501,13.257267951965332
82.56463074684143,13.0,233.52762167933707,19.502,13.245529174804688
82.76593542098999,13.0,233.33234804214743,19.504,13.23256778717041
82.96702361106873,13.0,231.5483256849977,19.507,13.243184089660645
83.16842865943909,13.0,234.7480125662934,19.507,13.243184089660645
83.36944961547852,13.0,234.5638034621858,19.51,13.237849235534668
83.57069730758667,13.0,234.36850003759287,19.513,13.24565601348877
83.77214503288269,13.0,234.1732264063897,19.515,13.237569808959961
83.97346496582031,13.0,237.37291449105243,19.515,13.237569808959961
84.1750922203064,13.0,237.18873549756177,19.517,13.211631774902344
84.37720203399658,13.0,237.0045859925521,19.52,13.213759422302246
84.57844710350037,13.0,235.20946855476902,19.523,13.20666217803955
84.77950954437256,13.0,238.40915638350074,19.523,13.20666217803955
84.98043727874756,13.0,238.22497745429044,19.527,13.201215744018555
85.18190503120422,13.0,238.04079853981546,19.529,13.203959465026855
85.38307929039001,13.0,237.85661964360753,19.532,13.199324607849121
85.58497405052185,13.0,241.05630784482432,19.532,13.199324607849121
85.78611850738525,13.0,240.8721289430576,19.534,13.216387748718262
85.98721289634705,13.0,240.69904470442702,19.538,13.212814331054688
86.18831276893616,13.0,240.51486583776597,19.542,13.194725036621094
86.38945364952087,13.0,240.34175257094935,19.546,13.187024116516113
86.59076237678528,13.0,243.54144149104968,19.546,13.187024116516113
86.79247403144836,13.0,241.75738956048332,19.55,13.177525520324707
86.99380469322205,13.0,241.58427711008167,19.554,13.182686805725098
87.19480872154236,13.0,241.4111649785407,19.558,13.182002067565918
87.39610195159912,13.0,244.6108551433894,19.558,13.182002067565918
87.59750723838806,13.0,244.42667624201002,19.561,13.17153263092041
87.79914999008179,13.0,244.253592008935,19.565,13.15573501586914
88.00067472457886,13.0,244.0805353958773,19.568,13.149968147277832
